ID,Target_Form_ID,Source_Form_ID,Comment,Source
1-0_carpenter,EAH-0_carpenter-1,WOT-0_carpenter-1,,wot
2-1_cannoncatapult,EAH-1_cannoncatapult-1,WOT-1_cannoncatapult-1,,wot
3-2_tofondlepetcaress,EAH-2_tofondlepetcaress-1,WOT-2_tofondlepetcaress-1,,wot
4-5_falseimitation,EAH-5_falseimitation-1,WOT-5_falseimitation-1,,wot
5-9_piedofananimalscoat,EAH-9_piedofananimalscoat-1,WOT-9_piedofananimalscoat-1,,wot
6-9_piedofananimalscoat,EAH-9_piedofananimalscoat-2,WOT-9_piedofananimalscoat-2,,wot
7-9_piedofananimalscoat,EAH-9_piedofananimalscoat-3,WOT-9_piedofananimalscoat-3,,wot
8-9_piedofananimalscoat,EAH-9_piedofananimalscoat-4,WOT-9_piedofananimalscoat-4,,wot
9-10_apple,EAH-10_apple-1,WOT-10_apple-1,,wot
10-12_barrelwoodencontainerandstandardquantity,EAH-12_barrelwoodencontainerandstandardquantity-1,WOT-12_barrelwoodencontainerandstandardquantity-1,,wot
11-12_barrelwoodencontainerandstandardquantity,EAH-12_barrelwoodencontainerandstandardquantity-2,WOT-12_barrelwoodencontainerandstandardquantity-2,,wot
12-13_tonursetakecareof,EAH-13_tonursetakecareof-1,WOT-13_tonursetakecareof-1,,wot
13-14_todecayputrifyturnstale,EAH-14_todecayputrifyturnstale-1,WOT-14_todecayputrifyturnstale-1,,wot
14-15_smalltiny,EAH-15_smalltiny-1,WOT-15_smalltiny-1,,wot
15-17_tomow,EAH-17_tomow-1,WOT-17_tomow-1,,wot
16-17_tomow,EAH-17_tomow-2,WOT-17_tomow-2,,wot
17-18_todecayputrefygobadoffoodwater,EAH-18_todecayputrefygobadoffoodwater-1,WOT-18_todecayputrefygobadoffoodwater-1,,wot
18-19_toharm,EAH-19_toharm-1,WOT-19_toharm-1,,wot
19-21_ditchcanal,EAH-21_ditchcanal-1,WOT-21_ditchcanal-1,,wot
20-22_barleyhordeum,EAH-22_barleyhordeum-1,WOT-22_barleyhordeum-1,,wot
21-23_barrow,EAH-23_barrow-1,WOT-23_barrow-1,,wot
22-24_gauntrygantryforsupportingbarrels,EAH-24_gauntrygantryforsupportingbarrels-1,WOT-24_gauntrygantryforsupportingbarrels-1,,wot
23-25_charm,EAH-25_charm-1,WOT-25_charm-1,,wot
24-26_soggyplacemoorswampmarsh,EAH-26_soggyplacemoorswampmarsh-1,WOT-26_soggyplacemoorswampmarsh-1,,wot
25-27_hatchetaxe,EAH-27_hatchetaxe-1,WOT-27_hatchetaxe-1,,wot
